,Offence Type,Sex,Year,Admissions
281,Indecency (sexual offences),M,2017,197.0
282,Drug offences,F,2017,356.0
283,Drug offences,M,2017,1741.0
284,Offences against lawful authority,F,2017,82.0
285,Offences against lawful authority,M,2017,131.0
286,Immigration offences,F,2017,1490.0
287,Immigration offences,M,2017,1383.0
288,Preventive crime,F,2017,7.0
289,Preventive crime,M,2017,176.0
290,Criminal damage,F,2017,11.0
291,Criminal damage,M,2017,104.0
292,Unlawful society offences,F,2017,1.0
293,Unlawful society offences,M,2017,50.0
294,Conspiracy,F,2017,78.0
295,Conspiracy,M,2017,110.0
296,Miscellaneous crimes,F,2017,389.0
297,Miscellaneous crimes,M,2017,1280.0
298,Total,F,2017,3291.0
299,Total,M,2017,7952.0
300,Total,Total,2017,11243.0
306,Violent crime against person,F,2018,55.0
307,Violent crime against person,M,2018,546.0
308,Violent crime against property,F,2018,10.0
309,Violent crime against property,M,2018,80.0
310,"Burglary, theft and handling stolen goods",F,2018,578.0
311,"Burglary, theft and handling stolen goods",M,2018,1703.0
312,Fraud and forgery,F,2018,47.0
313,Fraud and forgery,M,2018,115.0
314,Indecency (sexual offences),F,2018,102.0
315,Indecency (sexual offences),M,2018,177.0
316,Drug offences,F,2018,262.0
317,Drug offences,M,2018,1429.0
318,Offences against lawful authority,F,2018,92.0
319,Offences against lawful authority,M,2018,125.0
320,Immigration offences,F,2018,1622.0
321,Immigration offences,M,2018,1467.0
322,Preventive crime,F,2018,1.0
323,Preventive crime,M,2018,129.0
324,Criminal damage,F,2018,7.0
325,Criminal damage,M,2018,105.0
326,Unlawful society offences,F,2018,0.0
327,Unlawful society offences,M,2018,47.0
328,Conspiracy,F,2018,43.0
329,Conspiracy,M,2018,70.0
330,Miscellaneous crimes,F,2018,340.0
331,Miscellaneous crimes,M,2018,1260.0
332,Total,F,2018,3159.0
333,Total,M,2018,7253.0
334,Total,Total,2018,10412.0
340,Violent crime against person,F,2019,44.0
341,Violent crime against person,M,2019,490.0
342,Violent crime against property,F,2019,9.0
343,Violent crime against property,M,2019,93.0
344,"Burglary, theft and handling stolen goods",F,2019,512.0
345,"Burglary, theft and handling stolen goods",M,2019,1463.0
346,Fraud and forgery,F,2019,70.0
347,Fraud and forgery,M,2019,128.0
348,Indecency (sexual offences),F,2019,111.0
349,Indecency (sexual offences),M,2019,131.0
350,Drug offences,F,2019,195.0
351,Drug offences,M,2019,1246.0
352,Offences against lawful authority,F,2019,60.0
353,Offences against lawful authority,M,2019,81.0
354,Immigration offences,F,2019,1270.0
355,Immigration offences,M,2019,1123.0
356,Preventive crime,F,2019,3.0
357,Preventive crime,M,2019,119.0
358,Criminal damage,F,2019,7.0
359,Criminal damage,M,2019,89.0
360,Unlawful society offences,F,2019,0.0
361,Unlawful society offences,M,2019,29.0
362,Conspiracy,F,2019,63.0
363,Conspiracy,M,2019,79.0
364,Miscellaneous crimes,F,2019,355.0
365,Miscellaneous crimes,M,2019,1063.0
366,Total,F,2019,2699.0
367,Total,M,2019,6134.0
368,Total,Total,2019,8833.0
374,Violent crime against person,F,2020,42.0
375,Violent crime against person,M,2020,394.0
376,Violent crime against property,F,2020,8.0
377,Violent crime against property,M,2020,105.0
378,"Burglary, theft and handling stolen goods",F,2020,440.0
379,"Burglary, theft and handling stolen goods",M,2020,1501.0
380,Fraud and forgery,F,2020,46.0
381,Fraud and forgery,M,2020,86.0
382,Indecency (sexual offences),F,2020,21.0
383,Indecency (sexual offences),M,2020,76.0
384,Drug offences,F,2020,118.0
385,Drug offences,M,2020,721.0
386,Offences against lawful authority,F,2020,34.0
387,Offences against lawful authority,M,2020,68.0
388,Immigration offences,F,2020,843.0
389,Immigration offences,M,2020,605.0
390,Preventive crime,F,2020,12.0
391,Preventive crime,M,2020,193.0
392,Criminal damage,F,2020,10.0
393,Criminal damage,M,2020,107.0
394,Unlawful society offences,F,2020,0.0
395,Unlawful society offences,M,2020,27.0
396,Conspiracy,F,2020,39.0
397,Conspiracy,M,2020,60.0
398,Miscellaneous crimes,F,2020,202.0
399,Miscellaneous crimes,M,2020,836.0
400,Total,F,2020,1815.0
401,Total,M,2020,4779.0
402,Total,Total,2020,6594.0
408,Violent crime against person,F,2021,51.0
409,Violent crime against person,M,2021,557.0
410,Violent crime against property,F,2021,5.0
411,Violent crime against property,M,2021,134.0
412,"Burglary, theft and handling stolen goods",F,2021,453.0
413,"Burglary, theft and handling stolen goods",M,2021,1527.0
414,Fraud and forgery,F,2021,36.0
415,Fraud and forgery,M,2021,97.0
416,Indecency (sexual offences),F,2021,40.0
417,Indecency (sexual offences),M,2021,125.0
418,Drug offences,F,2021,153.0
419,Drug offences,M,2021,1140.0
420,Offences against lawful authority,F,2021,38.0
421,Offences against lawful authority,M,2021,96.0
422,Immigration offences,F,2021,990.0
423,Immigration offences,M,2021,723.0
424,Preventive crime,F,2021,18.0
425,Preventive crime,M,2021,252.0
426,Criminal damage,F,2021,12.0
427,Criminal damage,M,2021,203.0
428,Unlawful society offences,F,2021,1.0
429,Unlawful society offences,M,2021,41.0
430,Conspiracy,F,2021,34.0
431,Conspiracy,M,2021,71.0
432,Miscellaneous crimes,F,2021,278.0
433,Miscellaneous crimes,M,2021,1359.0
434,Total,F,2021,2109.0
435,Total,M,2021,6325.0
436,Total,Total,2021,8434.0
442,Violent crime against person,F,2022,61.0
443,Violent crime against person,M,2022,431.0
444,Violent crime against property,F,2022,14.0
445,Violent crime against property,M,2022,107.0
446,"Burglary, theft and handling stolen goods",F,2022,378.0
447,"Burglary, theft and handling stolen goods",M,2022,1089.0
448,Fraud and forgery,F,2022,34.0
449,Fraud and forgery,M,2022,131.0
450,Indecency (sexual offences),F,2022,40.0
451,Indecency (sexual offences),M,2022,173.0
452,Drug offences,F,2022,140.0
453,Drug offences,M,2022,1058.0
454,Offences against lawful authority,F,2022,31.0
455,Offences against lawful authority,M,2022,81.0
456,Immigration offences,F,2022,823.0
457,Immigration offences,M,2022,609.0
458,Preventive crime,F,2022,14.0
459,Preventive crime,M,2022,139.0
460,Criminal damage,F,2022,10.0
461,Criminal damage,M,2022,147.0
462,Unlawful society offences,F,2022,0.0
463,Unlawful society offences,M,2022,23.0
464,Conspiracy,F,2022,51.0
465,Conspiracy,M,2022,50.0
466,Miscellaneous crimes,F,2022,297.0
467,Miscellaneous crimes,M,2022,1278.0
468,Total,F,2022,1893.0
469,Total,M,2022,5316.0
470,Total,Total,2022,7209.0
476,Violent crime against person,F,2023,74.0
477,Violent crime against person,M,2023,354.0
478,Violent crime against property,F,2023,14.0
479,Violent crime against property,M,2023,159.0
480,"Burglary, theft and handling stolen goods",F,2023,546.0
481,"Burglary, theft and handling stolen goods",M,2023,1481.0
482,Fraud and forgery,F,2023,68.0
483,Fraud and forgery,M,2023,156.0
484,Indecency (sexual offences),F,2023,187.0
485,Indecency (sexual offences),M,2023,334.0
486,Drug offences,F,2023,206.0
487,Drug offences,M,2023,1239.0
488,Offences against lawful authority,F,2023,89.0
489,Offences against lawful authority,M,2023,84.0
490,Immigration offences,F,2023,1303.0
491,Immigration offences,M,2023,781.0
492,Preventive crime,F,2023,15.0
493,Preventive crime,M,2023,162.0
494,Criminal damage,F,2023,11.0
495,Criminal damage,M,2023,139.0
496,Unlawful society offences,F,2023,0.0
497,Unlawful society offences,M,2023,67.0
498,Conspiracy,F,2023,57.0
499,Conspiracy,M,2023,115.0
500,Miscellaneous crimes,F,2023,381.0
501,Miscellaneous crimes,M,2023,1498.0
502,Total,F,2023,2951.0
503,Total,M,2023,6569.0
504,Total,Total,2023,9520.0
510,Violent crime against person,F,2024,83.0
511,Violent crime against person,M,2024,498.0
512,Violent crime against property,F,2024,13.0
513,Violent crime against property,M,2024,82.0
514,"Burglary, theft and handling stolen goods",F,2024,580.0
515,"Burglary, theft and handling stolen goods",M,2024,1645.0
516,Fraud and forgery,F,2024,68.0
517,Fraud and forgery,M,2024,173.0
518,Indecency (sexual offences),F,2024,152.0
519,Indecency (sexual offences),M,2024,226.0
520,Drug offences,F,2024,169.0
521,Drug offences,M,2024,1134.0
522,Offences against lawful authority,F,2024,43.0
523,Offences against lawful authority,M,2024,91.0
524,Immigration offences,F,2024,1528.0
525,Immigration offences,M,2024,897.0
526,Preventive crime,F,2024,15.0
527,Preventive crime,M,2024,172.0
528,Criminal damage,F,2024,9.0
529,Criminal damage,M,2024,169.0
530,Unlawful society offences,F,2024,0.0
531,Unlawful society offences,M,2024,58.0
532,Conspiracy,F,2024,60.0
533,Conspiracy,M,2024,161.0
534,Miscellaneous crimes,F,2024,484.0
535,Miscellaneous crimes,M,2024,1591.0
536,Total,F,2024,3204.0
537,Total,M,2024,6897.0
538,Total,Total,2024,10101.0
